"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","48.8","14.8","11.6","18.3","2.8","1.0","322.0","5,061.6","120.4"
"Denver Broncos","","59.7","13.3","8.3","12.3","2.4","0.5","319.3","4,844.2","118.2"
"Pittsburgh Steelers","","45.9","13.6","12.8","18.8","2.4","0.0","347.4","5,437.1","113.4"
"Minnesota Vikings","","49.1","12.6","12.1","18.1","2.4","0.0","361.1","5,299.5","112.6"
"Seattle Seahawks","","46.3","13.6","8.4","13.6","3.2","0.5","314.6","5,121.4","110.5"
"Los Angeles Chargers","","48.5","15.3","8.3","12.6","2.0","0.0","366.9","5,472.8","107.6"
"Detroit Lions","","48.0","13.4","9.3","14.4","2.2","0.5","374.9","5,461.5","107.5"
"Los Angeles Rams","","46.4","13.4","9.5","14.5","2.3","0.5","347.5","5,244.7","107.1"
"Buffalo Bills","","42.8","14.6","9.6","12.7","2.4","0.5","393.0","5,738.9","106.7"
"Atlanta Falcons","","45.9","12.6","8.4","13.3","2.3","0.5","415.5","5,604.5","102.8"
"Baltimore Ravens","","46.0","13.1","9.3","14.1","2.0","0.0","355.9","5,259.2","102.6"
"Philadelphia Eagles","","42.1","13.0","10.0","14.4","2.4","0.0","323.5","5,266.3","102.5"
"Chicago Bears","","39.8","14.0","10.9","16.6","2.1","0.0","385.8","5,918.6","102.3"
"Cleveland Browns","","46.6","12.1","8.6","12.8","2.2","0.0","389.3","5,236.9","101.4"
"New Orleans Saints","","44.8","12.5","8.4","12.8","2.3","0.0","399.1","5,479.6","100.6"
"Cincinnati Bengals","","41.1","13.1","9.4","13.4","2.1","0.0","412.4","5,815.2","99.0"
"Jacksonville Jaguars","","37.1","13.9","9.2","13.6","2.6","0.0","387.1","5,492.1","98.9"
"New England Patriots","","40.7","11.6","8.9","12.5","2.6","0.5","356.6","5,267.5","98.4"
"Tampa Bay Buccaneers","","41.1","11.7","10.0","13.4","2.0","0.5","392.5","5,602.7","97.2"
"Tennessee Titans","","44.8","10.0","8.5","13.0","2.1","0.5","462.9","5,954.8","95.6"
"Green Bay Packers","","40.4","11.9","9.7","13.5","1.9","0.0","366.9","5,515.6","95.3"
"Washington Commanders","","43.8","9.7","8.9","13.5","2.1","0.5","439.2","6,136.0","94.6"
"Indianapolis Colts","","39.3","12.9","8.7","12.3","1.9","0.0","393.7","5,512.0","94.3"
"Kansas City Chiefs","","42.0","12.0","8.0","12.3","1.9","0.0","349.6","5,400.7","93.2"
"New York Giants","","40.5","10.8","8.8","12.9","2.0","0.0","418.9","6,052.2","91.9"
"Miami Dolphins","","42.4","10.1","9.1","13.8","1.6","0.0","450.8","6,090.3","90.7"
"Dallas Cowboys","","41.6","10.4","8.5","13.3","1.9","0.0","443.3","6,093.3","90.6"
"Las Vegas Raiders","","40.7","10.2","8.7","14.0","1.8","0.5","436.2","5,731.0","90.5"
"Arizona Cardinals","","35.7","11.8","9.3","14.0","1.9","0.5","466.5","6,156.3","90.2"
"San Francisco 49ers","","35.9","11.1","9.3","15.3","1.9","0.0","395.3","5,647.6","88.0"
"Carolina Panthers","","38.1","11.6","7.1","10.6","1.8","0.0","403.4","5,807.3","86.4"
"New York Jets","","37.4","10.3","7.7","12.2","1.9","0.5","432.8","5,662.3","86.0"
""
""
